game_id,player_id,team_code,PA,AB,H,HR,RBI,BB,SO,R,H2,H3,HBP,SB,CS,SF,AVG,OBP,SLG,OPS
20230003,10008,2002,3,3,1,0,0,0,0,0,,,,0,0,0,0.333,0.333,0.333,0.666
20230033,10008,2002,1,1,0,0,0,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230038,10008,2002,1,1,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230043,10008,2002,1,1,0,0,0,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230053,10008,2002,4,4,1,0,0,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20230057,10008,2002,4,4,1,0,2,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20230062,10008,2002,4,3,1,0,0,1,0,0,,,,0,0,0,0.333,0.5,0.333,0.833
20230067,10008,2002,4,3,0,0,0,1,1,0,,,,0,0,0,0.0,0.25,0.0,0.25
20230075,10008,2002,4,4,2,0,1,0,0,0,,,,0,0,0,0.5,0.5,0.75,1.25
20230080,10008,2002,4,3,1,0,0,1,0,1,,,,0,0,0,0.333,0.5,0.333,0.833
20230085,10008,2002,4,4,1,0,0,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20230089,10008,2002,1,0,0,0,0,1,0,0,,,,0,0,0,,1.0,,
20230094,10008,2002,4,4,1,0,1,0,0,1,,,,0,0,0,0.25,0.25,0.25,0.5
20230099,10008,2002,4,3,2,0,1,0,0,0,,,,0,0,0,0.667,0.667,1.0,1.667
20230104,10008,2002,3,3,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230109,10008,2002,4,2,0,0,0,1,1,1,,,,0,0,0,0.0,0.5,0.0,0.5
20230114,10008,2002,3,3,1,0,0,0,0,0,,,,0,0,0,0.333,0.333,0.333,0.666
20230116,10008,2002,5,5,3,0,0,0,0,1,,,,0,0,0,0.6,0.6,0.8,1.4
20230121,10008,2002,5,4,2,0,0,1,0,0,,,,0,0,0,0.5,0.6,0.5,1.1
20230126,10008,2002,5,3,1,0,1,2,0,1,,,,0,0,0,0.333,0.6,0.333,0.933
20230134,10008,2002,5,4,0,0,0,1,0,0,,,,0,0,0,0.0,0.2,0.0,0.2
20230139,10008,2002,4,2,0,0,1,2,0,1,,,,0,0,0,0.0,0.5,0.0,0.5
20230164,10008,2002,4,4,2,0,0,0,0,0,,,,0,0,0,0.5,0.5,0.5,1.0
20230169,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230174,10008,2002,5,5,2,0,0,0,0,0,,,,0,0,0,0.4,0.4,0.4,0.8
20230176,10008,2002,4,3,1,0,0,1,0,0,,,,0,0,0,0.333,0.5,0.333,0.833
20230181,10008,2002,4,4,1,0,0,0,1,1,,,,0,0,0,0.25,0.25,0.25,0.5
20230186,10008,2002,5,5,1,0,1,0,0,1,,,,0,0,0,0.2,0.2,0.2,0.4
20230194,10008,2002,5,5,1,0,1,0,0,1,,,,0,0,0,0.2,0.2,0.2,0.4
20230199,10008,2002,5,5,2,0,1,0,0,1,,,,0,0,0,0.4,0.4,0.8,1.2
20230208,10008,2002,5,5,3,0,3,0,0,1,,,,0,0,0,0.6,0.6,0.8,1.4
20230213,10008,2002,4,4,2,0,1,0,0,0,,,,0,0,0,0.5,0.5,0.5,1.0
20230218,10008,2002,4,4,0,0,0,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230224,10008,2002,5,4,1,0,0,1,1,0,,,,0,0,0,0.25,0.4,0.25,0.65
20230229,10008,2002,4,4,1,0,0,0,1,0,,,,0,0,0,0.25,0.25,0.25,0.5
20230234,10008,2002,1,1,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230239,10008,2002,5,5,3,0,0,0,1,0,,,,0,0,0,0.6,0.6,0.8,1.4
20230244,10008,2002,5,4,2,0,1,1,1,1,,,,0,0,0,0.5,0.6,0.75,1.35
20230249,10008,2002,4,4,3,0,0,0,0,0,,,,0,0,0,0.75,0.75,0.75,1.5
20230254,10008,2002,2,2,1,0,1,0,0,0,,,,0,0,0,0.5,0.5,0.5,1.0
20230270,10008,2002,3,3,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230275,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230280,10008,2002,5,4,2,0,0,1,0,1,,,,0,0,0,0.5,0.6,0.5,1.1
20230284,10008,2002,4,4,2,0,0,0,0,0,,,,0,0,0,0.5,0.5,0.5,1.0
20230289,10008,2002,5,3,2,0,1,2,0,0,,,,0,0,0,0.667,0.8,1.0,1.8
20230294,10008,2002,4,2,0,0,0,2,1,1,,,,0,0,0,0.0,0.5,0.0,0.5
20230296,10008,2002,5,3,0,0,1,1,0,0,,,,0,0,0,0.0,0.25,0.0,0.25
20230301,10008,2002,5,5,1,0,0,0,0,1,,,,0,0,0,0.2,0.2,0.2,0.4
20230306,10008,2002,4,3,0,0,0,1,0,1,,,,0,0,0,0.0,0.25,0.0,0.25
20230312,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230317,10008,2002,1,1,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230322,10008,2002,4,3,2,0,0,1,0,2,,,,0,0,0,0.667,0.75,0.667,1.417
20230330,10008,2002,4,3,1,0,0,1,0,0,,,,0,0,0,0.333,0.5,0.333,0.833
20230335,10008,2002,1,1,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230422,10008,2002,4,4,1,0,0,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20230427,10008,2002,4,4,1,0,1,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20230439,10008,2002,3,3,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230444,10008,2002,3,3,0,0,0,0,1,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230449,10008,2002,4,4,1,0,0,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20230465,10008,2002,4,2,1,0,0,1,0,0,,,,0,0,0,0.5,0.667,0.5,1.167
20230470,10008,2002,4,4,1,0,1,0,0,2,,,,0,0,0,0.25,0.25,0.25,0.5
20230475,10008,2002,4,4,2,0,0,0,0,0,,,,0,0,0,0.5,0.5,0.5,1.0
20230479,10008,2002,4,4,1,0,0,0,1,0,,,,0,0,0,0.25,0.25,0.25,0.5
20230484,10008,2002,4,3,0,0,1,0,0,0,,,,0,0,1,0.0,0.0,0.0,0.0
20230489,10008,2002,4,4,1,0,0,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20230494,10008,2002,4,3,1,0,0,0,1,0,,,,0,0,0,0.333,0.5,0.333,0.833
20230499,10008,2002,4,4,1,0,1,0,1,0,,,,0,0,0,0.25,0.25,0.5,0.75
20230504,10008,2002,6,6,2,0,1,0,0,0,,,,0,0,0,0.333,0.333,0.333,0.666
20230508,10008,2002,5,4,3,0,3,0,0,0,,,,0,0,0,0.75,0.75,0.75,1.5
20230513,10008,2002,4,4,2,0,2,0,1,2,,,,0,0,0,0.5,0.5,0.75,1.25
20230518,10008,2002,2,2,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230570,10008,2002,3,3,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230575,10008,2002,4,2,1,0,1,0,0,0,,,,0,0,1,0.5,0.333,0.5,0.833
20230580,10008,2002,4,4,1,0,0,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20230584,10008,2002,4,4,3,0,2,0,0,0,,,,0,0,0,0.75,0.75,0.75,1.5
20230594,10008,2002,4,4,0,0,0,0,2,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230598,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230603,10008,2002,4,3,2,0,1,1,0,1,,,,0,0,0,0.667,0.75,1.0,1.75
20230608,10008,2002,4,4,1,0,2,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20230625,10008,2002,5,4,1,0,1,0,0,0,,,,0,0,0,0.25,0.4,0.25,0.65
20230628,10008,2002,5,5,1,0,0,0,0,0,,,,0,0,0,0.2,0.2,0.2,0.4
20230633,10008,2002,5,4,2,0,0,1,0,0,,,,0,0,0,0.5,0.6,0.5,1.1
20230638,10008,2002,4,4,3,0,0,0,0,1,,,,1,0,0,0.75,0.75,0.75,1.5
20230646,10008,2002,5,5,1,0,0,0,1,0,,,,1,0,0,0.2,0.2,0.2,0.4
20230651,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230659,10008,2002,3,3,1,0,1,0,0,0,,,,0,0,0,0.333,0.333,0.333,0.666
20230865,10008,2002,4,3,1,0,0,0,0,0,,,,0,0,0,0.333,0.333,0.333,0.666
20230664,10008,2002,4,4,3,0,0,0,0,2,,,,0,0,0,0.75,0.75,0.75,1.5
20230669,10008,2002,5,5,4,0,1,0,0,1,,,,0,0,0,0.8,0.8,0.8,1.6
20230869,10008,2002,5,5,4,0,1,0,0,1,,,,0,0,0,0.8,0.8,1.0,1.8
20230872,10008,2002,2,1,0,0,0,1,1,0,,,,0,0,0,0.0,0.5,0.0,0.5
20230879,10008,2002,4,4,2,0,1,0,0,1,,,,0,0,0,0.5,0.5,0.75,1.25
20230890,10008,2002,4,4,2,0,0,0,0,1,,,,0,0,0,0.5,0.5,0.5,1.0
20230998,10008,2002,4,4,1,0,0,0,0,0,,,,0,0,0,0.25,0.25,0.25,0.5
20230895,10008,2002,4,4,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,0.0,0.0
20230904,10008,2002,5,4,1,0,2,1,1,1,,,,0,0,0,0.25,0.4,0.25,0.65
20230910,10008,2002,4,4,1,0,0,0,0,0,,,,1,0,0,0.25,0.25,0.25,0.5
