date,game_id,status,game_time,Stadium_code,away_team,home_team,away_sp_id,home_sp_id,away_sp_name,home_sp_name,away_score,home_score,weather_code,temperature,humidity,wind_direction,wind_speed,rain_probability,leagueType,season,target_home_win,is_draw
2023-04-01,20230001,3,14:00:00,1001,3001,6002,14627,13941,스트레일리,알칸타라,10.0,12.0,10400,24.2,14,20100,1.4,,10100,2023,1.0,0
2023-04-01,20230002,3,14:00:00,1003,7002,10001,15540,13091,스미스,안우진,2.0,3.0,10100,23.7,20,20300,2.4,,10100,2023,1.0,0
2023-04-01,20230003,3,14:00:00,2001,2002,9002,15533,10126,앤더슨,김광현,1.0,4.0,10100,23.9,23,21500,1.9,,10100,2023,1.0,0
2023-04-01,20230004,3,14:00:00,2002,5002,12001,13934,15143,켈리,벤자민,6.0,11.0,10100,24.0,20,20900,2.3,,10100,2023,1.0,0
2023-04-01,20230005,3,14:00:00,7003,11001,1001,15535,14617,페디,뷰캐넌,8.0,0.0,10100,22.9,23,20500,4.3,,10100,2023,0.0,0
2023-04-02,20230006,3,14:00:00,1001,3001,6002,12930,12852,나균안,최원준,2.0,0.0,10100,24.3,17,20100,1.3,,10100,2023,0.0,0
2023-04-02,20230007,3,14:00:00,1003,7002,10001,11410,13940,김민우,요키시,6.0,7.0,10100,24.4,12,21100,1.5,,10100,2023,1.0,0
2023-04-02,20230008,3,14:00:00,2001,2002,9002,14788,15528,이의리,맥카티,9.0,5.0,10100,22.7,14,20700,3.0,,10100,2023,0.0,0
2023-04-02,20230009,3,14:00:00,2002,5002,12001,14588,14600,김윤식,소형준,10.0,9.0,10100,23.1,14,20500,3.8,,10100,2023,0.0,0
2023-04-02,20230010,3,14:00:00,7003,11001,1001,11353,15001,구창모,수아레즈,6.0,8.0,10100,19.7,35,20500,6.8,,10100,2023,1.0,0
2023-04-04,20230011,3,18:30:00,1001,11001,6002,14155,13061,송명기,곽빈,0.0,1.0,10500,19.9,18,20100,2.0,,10100,2023,1.0,0
2023-04-04,20230012,3,18:30:00,1003,5002,10001,15003,15531,플럿코,후라도,7.0,1.0,10400,21.2,18,20500,2.2,,10100,2023,0.0,0
2023-04-04,20230013,3,18:30:00,2001,3001,9002,11310,14581,박세웅,오원석,1.0,3.0,10500,20.3,21,20500,3.3,,10100,2023,1.0,0
2023-04-04,20230015,3,18:30:00,7003,7002,1001,15146,14113,페냐,원태인,6.0,7.0,10500,19.2,47,20700,3.8,,10100,2023,1.0,0
2023-04-05,20230016,3,18:30:00,1001,11001,6002,13085,14770,신민혁,최승용,9.0,3.0,10400,10.4,95,21100,1.7,,10100,2023,0.0,0
2023-04-05,20230017,3,18:30:00,1003,5002,10001,14589,11379,이민호,최원태,1.0,2.0,10400,9.5,91,21100,2.4,,10100,2023,1.0,0
2023-04-06,20230021,3,18:30:00,1001,11001,6002,15455,14769,이준호,김동주,2.0,6.0,10400,10.2,72,21100,1.4,,10100,2023,1.0,0
2023-04-06,20230022,3,18:30:00,1003,5002,10001,14780,14784,강효종,장재영,5.0,0.0,10400,9.5,76,21100,2.5,,10100,2023,0.0,0
2023-04-06,20230025,3,18:30:00,7003,7002,1001,15013,10363,문동주,백정현,8.0,1.0,10400,16.2,58,21500,3.2,,10100,2023,0.0,0
2023-04-07,20230026,3,18:30:00,1001,1001,5002,13157,13934,양창섭,켈리,2.0,7.0,10100,11.7,47,21100,5.2,,10100,2023,1.0,0
