game_id,player_id,team_code,vs_team,game_date,G,GS,IP,R,ER,TBF,H,HR,BB,SO,NP,ERA,WHIP,OPS,IP_real,is_starter_actual,role_game
20230043,10058,2002,7002,04-11,1,1,7.0,3,3,29,7,1,1,5,84,3.86,1.14,0.786,7.0,1,starter
20230067,10058,2002,10001,04-16,1,1,7.0,0,0,27,3,0,3,9,104,0.0,0.86,0.448,7.0,1,starter
20230094,10058,2002,1001,04-22,1,1,5.0,1,1,22,3,0,4,7,103,1.8,1.4,0.54,5.0,1,starter
20230116,10058,2002,5002,04-28,1,1,5.0,3,3,22,7,0,2,5,99,5.4,1.8,0.876,5.0,1,starter
20230164,10058,2002,9002,05-09,1,1,8.0,0,0,30,6,0,1,10,101,0.0,0.88,0.474,8.0,1,starter
20230186,10058,2002,6002,05-14,1,1,5.1,4,2,27,10,0,1,5,104,3.38,2.06,0.863,5.333333333333333,1,starter
20230218,10058,2002,10001,05-21,1,1,7.0,1,1,28,8,0,1,3,111,1.29,1.29,0.666,7.0,1,starter
20230244,10058,2002,5002,05-27,1,1,6.2,3,3,28,7,0,2,3,102,4.05,1.35,0.629,6.666666666666667,1,starter
20230270,10058,2002,3001,06-02,1,1,2.0,9,9,16,9,1,2,1,47,40.5,5.5,1.81,2.0,1,starter
20230289,10058,2002,9002,06-07,1,1,4.1,7,7,26,11,0,2,3,85,14.54,3.0,1.216,4.333333333333333,1,starter
20230312,10058,2002,10001,06-13,1,1,5.0,1,0,21,5,0,0,6,98,0.0,1.0,0.476,5.0,1,starter
20230340,10058,2002,11001,06-18,1,1,7.0,4,4,29,9,2,0,5,82,5.14,1.29,0.931,7.0,1,starter
20230364,10058,2002,12001,06-24,1,1,6.0,1,0,27,8,0,2,5,108,0.0,1.67,0.733,6.0,1,starter
20230386,10058,2002,5002,06-30,1,1,5.0,2,2,22,4,1,2,5,107,3.6,1.2,0.673,5.0,1,starter
20230413,10058,2002,9002,07-06,1,1,5.0,1,1,22,5,0,2,4,107,1.8,1.4,0.618,5.0,1,starter
20230444,10058,2002,1001,07-13,1,1,5.0,3,2,24,6,1,1,6,96,3.6,1.4,0.683,5.0,1,starter
20230475,10058,2002,11001,07-27,1,1,5.2,4,4,27,8,1,5,0,94,6.35,2.29,1.026,5.666666666666667,1,starter
20230499,10058,2002,1001,08-02,1,1,5.0,3,3,21,7,0,1,5,94,5.4,1.6,0.731,5.0,1,starter
20230553,10058,2002,10001,08-15,1,1,5.2,7,7,28,6,1,4,5,112,11.12,1.76,0.815,5.666666666666667,1,starter
20230603,10058,2002,7002,08-26,1,1,6.0,2,2,24,5,0,1,4,91,3.0,1.0,0.534,6.0,1,starter
20230628,10058,2002,9002,09-01,1,1,7.0,0,0,24,2,0,1,3,98,0.0,0.43,0.212,7.0,1,starter
20230651,10058,2002,6002,09-07,1,1,6.0,2,2,26,6,1,3,4,90,3.0,1.5,0.781,6.0,1,starter
20230872,10058,2002,3001,09-13,1,1,5.0,3,0,22,4,0,2,4,92,0.0,1.2,0.578,5.0,1,starter
20230895,10058,2002,5002,09-19,1,1,7.0,4,4,27,5,2,2,4,82,5.14,1.0,0.699,7.0,1,starter
20230917,10058,2002,12001,09-24,1,1,6.0,1,1,23,6,0,1,5,94,1.5,1.17,0.759,6.0,1,starter
20230937,10058,2002,9002,09-30,1,1,6.1,3,3,27,8,1,0,2,96,4.26,1.26,0.777,6.333333333333333,1,starter
20230959,10058,2002,12001,10-05,1,1,6.0,5,3,26,5,1,2,5,96,4.5,1.17,0.689,6.0,1,starter
20231012,10058,2002,10001,10-11,1,1,8.0,0,0,29,6,0,0,6,97,0.0,0.75,0.414,8.0,1,starter
20231029,10058,2002,11001,10-17,1,1,7.0,1,1,25,5,0,0,4,77,1.29,0.71,0.4,7.0,1,starter
20240014,10058,2002,3001,03-26,1,1,5.1,1,1,25,5,0,4,4,90,1.69,1.69,0.646,5.333333333333333,1,starter
20240043,10058,2002,12001,04-02,1,1,5.1,4,4,25,5,1,3,2,89,6.75,1.5,0.809,5.333333333333333,1,starter
20240068,10058,2002,1001,04-07,1,1,6.0,3,3,26,5,1,1,2,85,4.5,1.0,0.743,6.0,1,starter
20240094,10058,2002,7002,04-13,1,1,6.0,2,2,25,5,0,2,8,102,3.0,1.17,0.584,6.0,1,starter
20240119,10058,2002,11001,04-19,1,1,6.0,2,2,25,7,1,0,5,105,3.0,1.17,0.68,6.0,1,starter
20240142,10058,2002,10001,04-25,1,1,7.0,2,2,25,4,1,1,6,94,2.57,0.71,0.512,7.0,1,starter
20240168,10058,2002,12001,05-01,1,1,9.0,1,1,33,8,0,1,6,102,1.0,1.0,0.554,9.0,1,starter
20240199,10058,2002,1001,05-08,1,1,6.0,1,0,22,3,0,0,4,87,0.0,0.5,0.318,6.0,1,starter
20240225,10058,2002,6002,05-14,1,1,6.0,6,6,29,9,2,2,3,87,9.0,1.83,0.972,6.0,1,starter
20240250,10058,2002,11001,05-19,1,1,6.0,1,1,23,5,0,1,4,90,1.5,1.0,0.637,6.0,1,starter
20240274,10058,2002,6002,05-25,1,1,7.0,1,0,27,7,0,0,4,89,0.0,1.0,0.703,7.0,1,starter
20240299,10058,2002,12001,05-31,1,1,5.1,6,6,27,8,1,2,3,94,10.13,1.88,0.949,5.333333333333333,1,starter
20240324,10058,2002,3001,06-06,1,1,6.0,3,3,24,5,1,1,5,94,4.5,1.0,0.728,6.0,1,starter
20240347,10058,2002,9002,06-12,1,1,5.2,5,5,26,8,1,1,6,93,7.94,1.59,0.826,5.666666666666667,1,starter
20240375,10058,2002,5002,06-18,1,1,5.0,3,3,22,7,0,2,2,73,5.4,1.8,0.859,5.0,1,starter
20240444,10058,2002,1001,07-04,1,1,5.0,3,3,20,5,2,1,5,96,5.4,1.2,0.879,5.0,1,starter
